Annotator1	Annotator2	Annotator3	label	text clean	index
5	3	1	1	user user gli esperti del user mentre fanno il calcolo dell'aumento delle vaccinazioni in friuli. link	B336
1	1	1	0	vaccino, lo psicologo: cosi' giovani escono da pantano emotivo  link	B107
4	4	4	1	giro di vite per 45mila sanitari. per i non vaccinati stop all’attività link	B237
4	4	4	1	questo non si ferma. vaccini: de luca, se necessario rinvieremo inizio scuola - campania - link link	B504
3	3	3	2	user user è esattamente così. mi piacerebbe poi sapere quanti decessi per coronavirus e quanti invece con coronavirus. ma queste informazioni non le sapremo mai, importante è negare che il vaccino sia potenzialmente pericoloso.	B402
3	3	3	2	quando pensate che user_italia siano liberali invece scopri che vogliono l' obbligo per i vaccini sperimentali chissà se user si farà un bel astrazeneca?	B357
3	3	3	2	user user_andme qualcuno vorrebbe escludere i cittadini non vaccinati dal #ssn. va bene, pero' non saremo piu' tenuti a versare tasse e contribuzioni e ci rivolgeremo al privato. alla fin dei conti gia' succede: per una visita col ssn mesi di attesa...privatamente domattina alle ore 8.00 !!!	B39
4	4	4	1	"11) banco informazioni, ti danno un modulo ""lo compilo e glielo dò adesso?""  12) ti fanno prendere appuntamento dal sito 13) complimenti ha un appuntamento per consegnare il modulo fra un mese. 14) la pandemia è finita, non ho la tessera sanitaria e non ho ancora il vaccino"	B184
3	5	3	2	brutti ignoranti buzzurri, la cura è una sola(o sóla) il vaccino, anche se non funziona.	B497
1	1	1	0	“vaccinari è megghiu di futtiri”	B196
3	3	3	2	user user basta analizzare le percentuali di non letalità del covid e quelle di garanzia dei vaccini, sono simili. vuole dire che i vaccini non cambieranno la situazione, e lo stiamo già vedendo nei fatti	B342
3	3	3	2	quarta dose obbligatoria? non scherziamo.	B407
6	4	4	1	2 vaccini, gb sperimenta immunizzazione	B519
1	1	1	0	un giorno qualcuno disse: nessuno si salva da solo. quindi, se qualcuno che è in procinto di farsi il vaccino #astrazeneka avesse intenzione di rifiutarsi, mi contatti pure, sarei ben lieto di prendere io il suo posto #vaccini	B525
6	3	3	2	#nessunacorrelazione, quindi #vaccinoaigiornalisti che hanno sempre sostenuto l'obbligo.	B10
3	3	3	2	“lo scopo principale della vaccinazione non è di ordine sanitario” link	B186
4	4	4	1	#vaccini domani, 5 maggio, sul portale della regione #toscana aprono le agende per prenotare il johnson&amp;johnson per chi ha più di 65 anni link user	B92
1	1	1	0	user user_ casa di riposo di mia madre: il primo piano è in quarantena perchè un oss non si è vaccinato e ha contratto il covid. mia cugina, che opera nel settore, mi ha detto che circa il 40% dei sanitari non è vaccinato..	B510
3	3	3	2	#staseraitalia le varianti si sviluppano dove non si vaccina? è esattamente il contrario, si chiama pressione selettiva dei vaccini.	B312
3	3	3	2	assassini!  lorenzo si era anche sottoposto al vaccino anti-covid, lo scorso 5 giugno. una scomparsa la sua che sconvolge la comunità, stretta intorno ai genitori	B138
4	4	1	1	l' #europa si è dimostrata un fallimento anche per  l' approvvigionamento del #vaccino   #coffeebreakla7	B485
3	3	3	2	per la cronaca e come volevasi dimostrare, la figlia del mio collega, ieri, è risultata positiva. ora andate a quel paese voi e il vostro vaccino.	B82
3	4	4	2	"antidiplomatico:""non si tratta di pro-vax e no-vax"": la discriminazione come metodo educativo e la retorica dell'inclusione link 11"	B158
3	3	3	2	"user avvisiamo la signora merkel che la parola ""immunizzato"" per chi si è vaccinato, non si può più usare.covid, contagiati in 20 su 360 sulla nave scuola amerigo vespucci, la marina militare: «sono tutti vaccinati»  link"	B436
3	3	4	2	brescia, morto di trombosi dopo il vaccino, indagine per omicidio colposo link	B481
3	3	3	2	"user ""forzare"", il governo e le istituzioni vogliono forzare un vaccino sperimentale e pericoloso nelle persone. buttate fuori questi delinquenti fascisti!!!"	B335
4	4	4	1	user inutile inviare dosi di vaccino alle regioni che non riescono a farle.	B46
4	4	4	1	pfizer sta pensando di adattare il nuovo richiamo alle varianti.	B77
4	4	1	0	lunedì mi vaccino ma come caregiver (avevo prenotato un mese fa), che voi sappiate la seconda dose viene allungata comunque?	B376
4	4	4	1	su circa 10,7 milioni di prime dosi del vaccino #pfizer 9,7 milioni di dosi del vaccino #astrazenaca e circa 0,8 milioni di seconde dosi di vaccino pfizer. quindi, i dati di tali effetti collaterali di astrazeneca non si discostano molto da quelli di pfizer.	B522
3	3	3	2	basta dittatura❗️, [24 lug 2021 alle 21:52] covid, codacons  chiede oggi ufficialmente la radiazione dall'albo per roberto burioni, che in un post ha definito ‘sorci’ coloro che non si sottopongono al vaccino augurando agli stessi gli ‘arresti domiciliari  link link	B518
3	3	1	2	"user ""il vaccino è il futuro"" ""mi farei iniettare anche petrolio pur di poter tornare libero""  questi sono due esempi di cose che hanno udito le mie povere orecchie"	B14
3	3	3	2	user user il vaccino è solo un mezzo. il fine è il grande reset	B147
1	1	1	0	user_ciau user articolo fuorviante. il vaccino funziona riducendo la probabilitá di contagio e le forme piú gravi della malattia anche dopo la prima dose, infatti i nuovi contagi in gb sono per lo più presso i giovani, che sono la parte di popolazione meno vaccinata link link	B478
3	3	3	2	user user user user non so in quanti sopravviveremo a  altri due anni di vaccini !!??!?😱😱😱… e lo avevano detto …siamo in troppi al mondo😡😤😤	B217
1	1	1	0	credevo di aver bonificato i miei follower, e invece … ‘sti novax spuntano come scarafaggi di notte	B295
4	4	1	1	🤡l’università che tramite email rimanda la somministrazione del vaccino a data da stabilire il giorno prima, letteralmente 10minuti prima del mio arrivo (sono fuorisede), dopo 2h di treno e 9,60€ di biglietto di sola andata 🤡	B425
1	3	1	0	il #covid19 continua a colpire i #neonati. tre casi nel vicentino, tutti con familiari #nonvaccinati. altri ricoveri in #rianimazione. servizio di giovanni stefani, montaggio gianpaolo gigante #ioseguotgr link	B6
1	4	1	1	user regione marche: liste  per caregiver ad oggi, per i comuni disabili gravi, ancora non aperte, stando al sito della regione, ma  i furbetti del vaccino (es. un avvocato),  sono stati vaccinati nei giorni scorsi pronunciando semplicemente la parola “caregiver”.	B318
4	4	4	1	è scontro tra virologi sulle mascherine: bassetti propone l’addio per i vaccinati. gismondo dissente link link	B125
4	4	4	1	"ripartite le vaccinazioni astrazeneca in italia. previsti turni straordinari per recuperare i ritardi. ministero della salute: ""serve accelerazione forte"". poche disdette nei centri riaperti link"	B399
4	4	1	1	festa: “ritardi nelle vaccinazioni. fuksas ha rinunciato al progetto dogana”  link link	B22
1	1	1	0	user se vai in giro sono quasi tutti senza mascherina o distanziamento   vaccino non significa zero casi ma ospedali liberi e gente non al cimitero   se fai anti influenzale non ti dice che non la prendi ma che se la prendi è leggera	B330
1	4	1	0	ema verso l’ok al vaccino pfizer per i 12-15 anni, speranza: “strategico per il prossimo anno scolastico” link	B260
6	4	1	1	rivolto a chi si riconosce! brutti stronzi! adesso che la lombardia e le regioni di destra sono prime nelle vaccinazioni, non dite più nulla? link	B226
1	4	1	1	vaccini covid lombardia, moratti: “i pazienti vulnerabili possono aderire con il sito delle poste” link	B13
3	3	3	2	user_lavit user infatti sono terapie sperimentali (chiamate vaccini) non obbligatorie (ma se non ci si sottopone alle quali si è molestati dallo stato fino a non aver vita degna) che permettono il contagio (e forse la moltiplicazione di varianti), però chiamano “immunizzati” chi vi si sottopone!	B509
6	3	3	2	user_grim vogliamo ricordare la diretta televisiva della processione natalizia del vaccino che ha attraversato il brennero e poi è arrivato a roma? giorni e giorni di giubilo perché ormai si vedeva la luce in fondo al tunnel. ecco, tre mesi dopo eccoci qua nel caos totale.	B66
3	3	3	2	i dati che preoccupano l’inventore del vaccino mrna (imprtanti e vietati ai virologi da tv) link #news #feedly	B420
4	4	4	1	vaccini napoli, 40 giorni per richiamo pfizer e moderna link	B389
4	4	4	1	un nuovo articolo: (vaccini covid, da domani in sicilia prenotazioni per i ragazzi dai 12 ai 15 anni) è stato pubblicato su: tempo stretto - ultime notizie da messina e reggio calabria - link link	B59
1	1	1	0	via libera dell’ema, il vaccino astrazeneca è sicuro ed efficace link	B524
1	1	1	0	user io mi sono vaccinato 2 volte, per proteggere mia moglie che ha malattia autoimmune e non può vaccinarsi. poi vedremo a ottobre...	B466
3	3	3	2	dopo la votazione di ieri si è avviata la strada verso il nuovo processo di norimberga nessun può obbligare a vaccinarsi con vaccini ancora in fase condizionata c'è scritto chiaramente nella sentenza e costituisce un reato gravissimo #norimberga2	B498
1	1	4	0	sto pensando ai vaccini! link	B172
4	4	1	1	"#dimartedi  #moratti  ieri ""gli over 80 che non sono stati ancora convocati per la vaccinazione potranno vaccinarsi presentandosi senza prenotazione nel centro vaccinale più vicino dal 7 all'11 aprile' -oggi ""no lasciate stare..mi sono sbagliata"" dal disastro #lombardia è  tutto"	B99
1	1	1	0	sii utile a te stesso e agli altri vatti a vaccinare. #vaccinatevi l'alternativa non c'è	B57
3	3	3	2	"""evidenzia una grande quantità di #asintomatici"" quindi, se il #vaccino eviterebbe il manifestarsi di sintomi gravi, a che cazzo serve davvero se ci son tutti sti asintomatici? c-r-i-m-i-n-a-l-i negazionisti della libertà si sapeva,ora si sa neanche avvezzi alla logica #tagadala7"	B256
1	1	1	0	iniziate vaccinazioni over 70. finalmente! #toscana #vaccini	B15
2	4	1	1	user user ma lo vogliamo capire che il virus non verrà sconfitto dai vaccini ,che servono per evitare di prendere il covid in forma lieve o comunque non mortale	B350
3	3	3	2	user uguale per noi. i miei figli già mi dicono che se per uscire devono essere vaccinati lo faranno. questo è il messaggio che passa dai media con la lingua felpata.	B263
4	4	1	1	user_maffi user a tg lombardia conferenza stampa prima regione a raggiungere 1 milione di vaccinati	B131
3	3	3	2	mia cugina, fatto il vaccino 5 giorni fa questa notte trasportata in ospedale e deceduta. proviene da un ceppo familiare che vive 100 anni. nessuna patologia, sportiva, ballava, rideva , ma non ha voluto ascoltarmi voleva essere libera con il vaccino. amen link	B103
1	4	1	0	user il green pass e' una misura ipocrita e sgangherata. rendere il vaccino obbligatorio sarebbe stato piu' dignitoso.	B293
4	4	4	1	canavese - a che punto siamo con i vaccini anti covid nella nostra zona? i numeri dell'asl to4 e le prossime date da segnare sul calendario   link	B432
1	1	1	0	user né il vaccino pfizer né quello moderna vengono prodotti usando linee cellulari di conseguenza è impossibile che contengano cellule di feti. altri vaccini necessitano di linee cellulari per la produzione (mrc-5, wi-38 e hek393 originarie degli anni 60/70), ma non ne contengono.	B81
4	4	4	1	ecco come prenotarsi per ricevere il #vaccinoanticovid.  link	B285
3	4	3	2	hanno fatto questo video perché la nazionale italiana ha vinto e la campagna di vaccinazione sta andando male.link	B490
4	4	4	1	#vaccini anti #covid19 in italia, dosi somministrate su base quotidiana. dosi somministrate il 11/05/2021 : 429.134 media mobile a 7 giorni: 465.570 #covid_19 #vaccinaitalia #astrazeneca #coronavirus #pfizer #modernavaccine link	B44
1	1	1	0	"🔵 ""si riprende con tutti i #vaccini. si pensa a privati e anche #farmacie. tutto come detto. errori sono stati commessi eccome e lo è stato sospendere. errori nazionali. campagna e pass #ue sono la via sana e giusta""  user 🎙️ #nonstopnews link"	B54
2	3	3	2	user il vaccinato è pericoloso. si contagia e può contagiare. solo i guariti meritano il green pass.	B340
3	3	3	2	ecco qua... infettata anche una ragazza vaccinata con due dosi. perché rompete i c... ai non vaccinati? qual è la differenza? deficienti! link	B50
3	3	3	2	user però ci danno un’arma. unitevi più che mai voi medici e rifiutate il vaccino. vedremo se vi sospenderanno. i psicologicamente compromessi da covid andranno all’estero a curarsi.	B410
4	4	4	1	vaccino, se la seconda dose è quando sono in vacanza: come si comportano le regioni italiane link	B135
4	4	4	1	i 2 decessi registrati oggi si riferiscono a  • 2 donne di 80 e 83 anni  erano residenti a scandiano e vetto d'enza  💉ieri sono state vaccinate 1.141 persone, oggi ne erano programmate 750	B507
4	4	4	1	vaccini a pasquetta quasi 148 mila vaccinazioni. il 20% delle dosi ancora nei frigoriferi delle regioni - #vaccini #pasquetta #quasi link link	B512
3	5	6	2	user hanno vaccinato le pecore purtroppo per loro sono rimasti i lupi	B316
4	4	4	1	#vaccini anti #covid19 in italia, aggiornamento del 11/04/2021 ore 11:28 andamento delle somministrazioni per classe di età. #covid_19 #vaccinaitalia #astrazeneca #coronavirus #pfizer #modernavaccine link	B375
1	1	1	0	user user_panta cosa del mio discorso ti ha fatto evincere che bisogna fare dei lager? cerchi di rendere inutile il mio discorso estremizzandolo all inverosimile? io sono vaccinato e sto bene, mio padre,  madre, nonna, zii e cugini, amici vaccinati e stanno tutti bene.  non potete vaccinarvi?	B433
2	4	4	1	a quanto pare i #vaccini dopo 7-8 mesi iniziano a perdere efficacia. il governo intanto sta meditando di ampliare la validità del #greenpass da 9 a 12 mesi. link	B391
3	3	3	2	user provateci a dare un vaccino genico sperimentale ai miei figli. provateci.	B149
1	1	4	0	vaccino, contagi crollati e zero morti tra gli under 60: ridotto anche il numer... link link	B505
4	4	3	1	user_s in austria bloccano abv5300 del vaccino #astrazeneca link	B258
3	3	3	2	nashville : giovane donna immobilizzata in un letto di ospedale ad una settimana dal vaccino pfizer, senza la possibilità di muovere le gambe	B91
5	4	4	1	mentre le #bigpharma registrano guadagni da capogiro, il #wto si incontra per parlare della sospensione dei #brevetti sui #vaccini anti #covid. ecco cosa potrebbe succedere senza un accesso equo ai vaccini #covax #omc #oms link	B369
1	1	1	0	user spero che facciate i complimenti anche alla regione lazio dato che ha gestito le vaccinazioni meglio di tutti .... diciamo un bravo a zingaretti	B459
4	4	3	1	"user user_it user user gentile sig. #calenda, spiace vedere che pur di farsi pubblicità lei sia disposto a scendere a così bassi livelli. non può non capire che la frase ""il vaccino rende liberi"" è davvero infelice. protesti contro coloro che la utilizzano, non contro chi ne fa notare l'inadeguatezza."	B462
1	4	1	1	non credo che sia etico, il comportamento che esclude l’uso di un  #vaccino  💉 #sputnik per motivi politici . il dovere della politica è mettere la vita dei cittadini davanti a qualunque pregiudizio o interesse	B209
1	1	1	0	user chi sceglie di non vaccinarsi è come quello che non rispetta il divieto di sosta e di fermata nei giorni di mercato. chi si è vaccinato ha pagato il suolo pubblico e si è iscritto alla camera di commercio, e loro ne approfittano a sbafo.	B222
